time,GPS1,GPS2,A,B,C
9:58:27,49.744355,13.3691733333333,65,200,84
9:58:27,49.744355,13.3691733333333,65,200,84
9:58:27,49.744355,13.3691733333333,65,200,84
9:58:27,49.744355,13.3691733333333,65,200,84
9:58:27,49.744355,13.3691733333333,67,200,84
9:58:27,49.744355,13.3691733333333,67,200,84
9:58:27,49.744355,13.3691733333333,67,200,84
9:58:27,49.744355,13.3691733333333,67,200,84
9:58:27,49.744355,13.3691733333333,67,200,84
9:58:27,49.744355,13.3691733333333,67,200,84
9:58:27,49.744355,13.3691733333333,67,200,84
9:58:27,49.744355,13.3691733333333,69,200,84
9:58:27,49.744355,13.3691733333333,71,200,84
9:58:27,49.744355,13.3691733333333,71,200,84
9:58:27,49.744355,13.3691733333333,139,200,65
9:58:27,49.744355,13.3691733333333,139,200,65
9:58:28,49.744355,13.3691733333333,139,200,65
9:58:28,49.744355,13.3691733333333,139,200,65
9:58:28,49.744355,13.3691733333333,139,200,66
9:58:28,49.744355,13.3691733333333,139,200,66
9:58:28,49.744355,13.3691733333333,139,200,66
9:58:28,49.744355,13.3691733333333,139,200,66
9:58:28,49.744355,13.3691733333333,139,200,66
9:58:28,49.744355,13.3691733333333,139,200,66
9:58:28,49.744355,13.3691733333333,139,200,67
9:58:28,49.744355,13.3691733333333,139,200,67
9:58:28,49.744355,13.3691733333333,139,200,67
9:58:28,49.744355,13.3691733333333,139,200,67
9:58:28,49.744355,13.3691733333333,133,200,67
9:58:28,49.744355,13.3691733333333,133,200,67
9:58:28,49.744355,13.3691733333333,133,200,67
9:58:28,49.744355,13.3691733333333,133,200,67
9:58:28,49.744355,13.3691733333333,133,200,67
9:58:28,49.744355,13.3691733333333,133,200,67
9:58:28,49.744355,13.3691733333333,133,200,67
9:58:28,49.744355,13.3691733333333,133,200,68
9:58:28,49.744355,13.3691733333333,133,200,68
9:58:28,49.744355,13.3691733333333,133,200,68
9:58:28,49.744285,13.369155,133,200,68
9:58:28,49.744285,13.369155,133,200,68
9:58:28,49.744285,13.369155,133,200,70
9:58:28,49.744285,13.369155,133,200,70
9:58:28,49.744285,13.369155,133,200,70
9:58:28,49.744285,13.369155,133,200,70
9:58:28,49.744285,13.369155,133,200,72
9:58:28,49.744285,13.369155,133,200,72
9:58:28,49.744285,13.369155,133,200,72
9:58:28,49.744285,13.369155,114,200,72
9:58:28,49.744285,13.369155,114,200,72
9:58:28,49.744285,13.369155,114,200,72
9:58:28,49.744285,13.369155,114,200,72
9:58:28,49.744285,13.369155,111,200,72
9:58:28,49.744285,13.369155,111,200,72
9:58:28,49.744285,13.369155,111,200,72
9:58:30,49.744265,13.3691483333333,255,200,94
9:58:30,49.744265,13.3691483333333,255,200,94
9:58:30,49.744265,13.3691483333333,255,200,94
9:58:30,49.744265,13.3691483333333,255,200,94
9:58:30,49.744265,13.3691483333333,255,200,94
9:58:30,49.744265,13.3691483333333,255,200,94
